name,store_id,category,address,tel,options,amenity,broadcast,business_hours,menu,mapx,mapy
삼삼뼈국 교대점,1798425717,감자탕,서울 서초구 반포대로28길 50 101호,02-586-1881,,"단체 이용 가능, 포장, 배달, 예약, 무선 인터넷, 반려동물 동반, 남/녀 화장실 구분, 주차",,"월
11:00 - 23:00
15:00 - 16:30 브레이크타임
22:30 라스트오더; 화
11:00 - 23:00
15:00 - 16:30 브레이크타임
22:30 라스트오더; 수
11:00 - 23:00
15:00 - 16:30 브레이크타임
22:30 라스트오더; 목
11:00 - 23:00
15:00 - 16:30 브레이크타임
22:30 라스트오더; 금
11:00 - 23:00
15:00 - 16:30 브레이크타임
22:30 라스트오더; 토
11:00 - 22:00
15:00 - 16:30 브레이크타임
21:30 라스트오더; 일
11:00 - 22:00
15:00 - 16:30 브레이크타임
21:30 라스트오더","맑은뼈국
대표
10,000원; 얼큰뼈국
대표
10,500원; 맑은 미나리 감자탕
대표
소 : 30,000원 중 : 37,000원 대 : 44,000원
30,000원; 얼큰 미나리 감자탕
대표
소 : 31,000원 중 : 38,000원 대 : 45,000원
31,000원; 해장뼈국
11,000원; 맑은 뼈칼국수
11,000원; 얼큰 뼈칼국수
11,500원; 해장 뼈칼국수
잘 익은 쪽파 김치가 들어가 얼큰하고 시원한 맛.
12,000원; 물냉칼국수
9,000원; 토마토 바질 뼈찜(1인/점심한정)
13,000원; 해장 감자탕(with 쪽파김치)
소 : 32,000원 중 : 39,000원 대 : 46,000원
32,000원; 토마토바질뼈찜
중 : 38,000원 대 : 45,000원
38,000원; 소룡포
4,500원; 새우소룡포
5,000원; 명태회무침
9,000원; 한돈육전
9,000원; 튀김만두
10,000원; 소 접시수육
15,000원; 삼삼볶음밥
감자탕 및 뼈찜 메뉴에서만 주문가능
3,000원; 삼삼리조또
감자탕 및 뼈찜 드신후 후식으로만 주문 가능.
6,000원; 삼삼파스타
감자탕 및 뼈찜메뉴만 주문 가능
6,000원; 오리지널 하이볼
6,500원; 얼그레이 하이볼
7,000원; 히비스커스 하이볼
7,000원; 딸기슬러쉬 막걸리
9,000원; 망고슬러쉬 막걸리
9,000원",127.0112412,37.4912234
청솔게르마늄감자탕,35532242,감자탕,서울 서초구 반포대로30길 53 조광빌딩 지하1층,02-585-5872,,,,"월
09:30 - 21:30; 화
09:30 - 21:30; 수
09:30 - 21:30; 목
09:30 - 21:30; 금
09:30 - 21:30; 토
10:00 - 20:00; 일
정기휴무 (매주 일요일)","뼈추가
9,000원; 우거지추가
6,000원; 공기밥,라면사리
1,000원; 감자탕 大
48,000원; 감자탕 中
38,000원; 감자탕 小
28,000원; 볶음밥2人분
6,000원; 뼈해장국
11,000원; 해물전
15,000원",127.0114199,37.4924581
삼식이감자탕,1177078206,감자탕,서울 강남구 역삼로19길 9,02-555-2800,,"예약, 포장, 단체 이용 가능, 남/녀 화장실 구분",,"월
09:30 - 21:30
15:00 - 16:00 브레이크타임; 화
09:30 - 21:30
15:00 - 16:00 브레이크타임; 수
09:30 - 21:30
15:00 - 16:00 브레이크타임; 목
09:30 - 21:30
15:00 - 16:00 브레이크타임; 금
09:30 - 21:30
15:00 - 16:00 브레이크타임; 토
정기휴무 (매주 토요일); 일
09:30 - 21:30
15:00 - 16:00 브레이크타임","감자탕 대
대표
계절을 타지 않는 삼식이 대표메뉴!
48,000원; 김치뼈찜 대
대표
삼식이감자탕 단골분들은 무조건 김치뼈찜 원픽!
55,000원; 뼈해장국
대표
삼식이 베스트셀러, 한그릇의 든든함, 풍성한고기와 진한 국물 !
10,000원; 감자탕/김치전골 중
44,000원; 감자탕/김치전골 소
40,000원; 김치전골 대
묵은지와 두부, 감자탕을 김치전골로 드셔보세요~^^♥︎
48,000원; 김치뼈찜 중
50,000원; 김치뼈찜 소
45,000원",127.0369715,37.4959235
청년감자탕 강남역점,1680724540,감자탕,서울 강남구 역삼로7길 17 1층,02-539-8886,,"단체 이용 가능, 예약, 무선 인터넷, 포장, 배달, 남/녀 화장실 구분, 유아의자, 주차",,"월
10:30 - 23:00
22:10 라스트오더; 화
10:30 - 23:00
22:10 라스트오더; 수
10:30 - 23:00
22:10 라스트오더; 목
10:30 - 23:00
22:10 라스트오더; 금
10:30 - 23:00
22:10 라스트오더; 토
10:30 - 23:00
22:10 라스트오더; 일
10:30 - 22:00
21:10 라스트오더","청년감자탕(소)(공기밥미포함)
32,000원; 청년감자탕(중)(공기밥미포함)
40,000원; 청년감자탕(대)(공기밥미포함)
48,000원; 청년감자탕(특대)(공기밥미포함)
56,000원; 묵은지감자탕(소)(공기밥미포함)
35,000원; 묵은지감자탕(중)(공기밥미포함)
43,000원; 묵은지감자탕(대)(공기밥미포함)
51,000원; 묵은지감자탕(특대)(공기밥미포함)
59,000원; 뼈해장국
10,000원; 순살해장국
11,000원; 묵지뼈해장국
11,000원; 묵은지순살해장국
12,000원; 순대국
9,000원; 특순대국
10,000원; 미니찰순대
4,000원; 찰순대
7,000원; 깍두기볶음밥
3,000원; 청년치즈볶음밥
5,000원; 날치알주먹밥
5,000원",127.0326891,37.495303
신동궁감자탕 역삼직영점,11832088,감자탕,서울 강남구 테헤란로10길 21 1층 신동궁감자탕뼈숯불구이,02-555-3782,,주차,,"월
00:00 - 24:00; 화
00:00 - 24:00; 수
00:00 - 24:00; 목
00:00 - 24:00; 금
00:00 - 24:00; 토
00:00 - 21:00; 일
00:00 - 24:00","감자탕 소
35,000원; 감자탕 중
42,000원; 감자탕 대
49,000원; 뼈 숯불구이 소
38,000원; 뼈 숯불구이 중
45,000원; 뼈 숯불구이 대
52,000원; 뼈찜 소
38,000원; 뼈찜- 중
45,000원; 뼈찜- 대
52,000원; 뼈 해장국
10,000원; 뚝배기 불고기
10,000원; 묵은지김치찜
10,000원; 낙지뚝배기
10,000원; 뼈추가- 탕
20,000원; 뼈추가- 숯불
22,000원; 뼈추가- 찜
22,000원; 볶음밥
3,000원",127.0328327,37.4978882
신사골감자탕 교대점,1227562809,감자탕,"서울 서초구 사임당로 33 1층 1호(서초동, 홍인빌딩)",0507-1427-4242,,"포장, 배달, 남/녀 화장실 구분",,"월
09:00 - 24:00; 화
00:00 - 24:00; 수
00:00 - 24:00; 목
00:00 - 24:00; 금
00:00 - 24:00; 토
00:00 - 24:00; 일
00:00 - 22:00","뼈해장국
대표
8,000원; 辛사골 감자탕
대표
25,000원; 황태해장국
7,000원; 辛대왕 등뼈찜
28,000원",127.0136646,37.4882508
원조감자탕 일미집 역삼점,1450154270,감자탕,서울 강남구 논현로 409 1층,02-556-5501,,"단체 이용 가능, 포장, 배달, 남/녀 화장실 구분",,"월
11:00 - 21:30
15:00 - 16:30 브레이크타임; 화
11:00 - 21:30
15:00 - 16:30 브레이크타임; 수
11:00 - 21:30
15:00 - 16:30 브레이크타임; 목
11:00 - 21:30
15:00 - 16:30 브레이크타임; 금
11:00 - 21:30
15:00 - 16:30 브레이크타임; 토
11:00 - 21:30
15:00 - 16:30 브레이크타임; 일
11:00 - 21:30
15:00 - 16:30 브레이크타임","감자탕백반
수요미식회에서 극찬한 50년 전통 원조감자탕 일미집은 모든 재료를 100% 국내산만 취급합니다. 오로지 품질 좋은 고기와 푸짐한 양, 저렴한 가격으로 모두를 만족시키겠습니다.
9,500원; 감자탕-소
수요미식회에서 극찬한 50년 전통 원조감자탕 일미집은 모든 재료를 100% 국내산만 취급합니다. 오로지 품질 좋은 고기와 푸짐한 양, 저렴한 가격으로 모두를 만족시키겠습니다.
23,000원; 감자탕-중
수요미식회에서 극찬한 50년 전통 원조감자탕 일미집은 모든 재료를 100% 국내산만 취급합니다. 오로지 품질 좋은 고기와 푸짐한 양, 저렴한 가격으로 모두를 만족시키겠습니다.
31,000원; 감자탕-대
수요미식회에서 극찬한 50년 전통 원조감자탕 일미집은 모든 재료를 100% 국내산만 취급합니다. 오로지 품질 좋은 고기와 푸짐한 양, 저렴한 가격으로 모두를 만족시키겠습니다.
39,000원",127.038672,37.4965809
신동궁 감자탕 뼈숯불구이 선릉직영점,18468954,감자탕,서울 강남구 선릉로86길 39 1층 신동궁감자탕 뼈숯불구이,02-558-7944,,,,"월
00:00 - 24:00; 화
00:00 - 24:00; 수
00:00 - 24:00; 목
00:00 - 24:00; 금
00:00 - 24:00; 토
00:00 - 24:00; 일
00:00 - 24:00","뼈해장국
10,000원; 묵은지김치찜
10,000원; 낙지뚝배기
10,000원; 뚝배기불고기
10,000원; 숯불뼈구이 소
38,000원; 숯불뼈구이 중
45,000원; 숯불뼈구이 대
52,000원; 감자탕 소
34,000원; 감자탕 중
41,000원; 감자탕 대
48,000원; 뼈찜 소
38,000원; 뼈찜 중
45,000원; 뼈찜 대
52,000원; 볶음밥
3,000원; 숯뼈추가
22,000원; 찜뼈추가
22,000원; 탕뼈추가
20,000원",127.0529113,37.5040863
남다른감자탕 삼성역점,1214735312,감자탕,서울 강남구 테헤란로92길 13 1층,02-539-2110,,"단체 이용 가능, 포장, 무선 인터넷, 남/녀 화장실 구분",,"월
11:00 - 22:00
15:00 - 17:00 브레이크타임
21:30 라스트오더; 화
11:00 - 22:00
15:00 - 17:00 브레이크타임
21:30 라스트오더; 수
11:00 - 22:00
15:00 - 17:00 브레이크타임
21:30 라스트오더; 목
11:00 - 22:00
15:00 - 17:00 브레이크타임
21:30 라스트오더; 금
11:00 - 22:00
15:00 - 17:00 브레이크타임
21:30 라스트오더; 토
10:00 - 21:00
10:10 - 11:00 브레이크타임
20:30 라스트오더; 일
10:00 - 21:00
10:10 - 11:00 브레이크타임
20:30 라스트오더","남자탕
특허 받은 육수의 진한 국물과 야들야들 고기 두둑한 대한민국 대표 건강 감자탕!
10,000원; 순살감자탕
프리미엄 국내산 등뼈의 살코기만 골라 손수 발라낸 수제 순살 감자탕!
11,000원; 남자와함께라면
남자탕의 얼큰한 국물과 함께! 쫄깃한 라면과 든든한 공깃밥까지!
9,000원; 부대해장국
남녀노소 모두가 좋아하는 부대찌개 재료와 감자탕의 환상적인 만남!
11,000원; 한방탕
감자탕 '동의보감' 한방 약재가 들어가 온몸에 활력을 북돋아주는 '건강감자탕'입니다.
13,000원; 남다른뼈전골(小/中/大)
갖은 재료의 풍성한 맛이 진한 육수에 우러나고 푸짐한 뼈를 발라먹는 맛도 일품입니다.
33,000~43,000원; 활력보감뼈전골(小/中/大)
숫총각버섯, 흑마늘 등 보약재료 듬뿍 넣고 끓여낸 원기보충 최고의 보양식 전골!
38,000~58,000원; 여신뼈찜세트(中/大)
매콤한 양념에 각종 야채와 굵은 가래떡이 뼈와 잘 어우러져 먹는 즐거움이 한 가득인 뼈찜!
38,000~43,000원; 프리미엄 뼈찜(小/大)
자체 개발한 남다른 소스와 뼈, 야채가 완벽한 조화를 이루는 남다른 프리미엄 뼈찜!
43,000~48,000원; 김치말이국수
새콤한 김치가 아삭아삭! 쫄깃한 생면이 씹는 식감을 더해 계속 먹고 싶은 맛!
8,000원; 남다른만두(9p)
(감자/김치/새우 3종) 육즙 가득한 소를 얇고 촉촉한 만두피로 감싸 한 입 가득한 행복!
7,000원",127.0613612,37.5071086
삼식이감자탕뼈해장국 교대점,1665277743,감자탕,서울 서초구 서초대로46길 80 1층 삼식이감자탕뼈해장국,0507-1353-5002,,"단체 이용 가능, 주차, 포장, 남/녀 화장실 구분",,"월
09:30 - 21:30
15:00 - 16:00 브레이크타임
21:00 라스트오더; 화
09:30 - 21:30
15:00 - 16:00 브레이크타임
21:00 라스트오더; 수
09:30 - 21:30
15:00 - 16:00 브레이크타임
21:00 라스트오더; 목
09:30 - 21:30
15:00 - 16:00 브레이크타임
21:00 라스트오더; 금
09:30 - 21:30
15:00 - 16:00 브레이크타임
21:00 라스트오더; 토
정기휴무 (매주 토요일); 일
09:30 - 21:30
15:00 - 16:00 브레이크타임
21:00 라스트오더","감자탕/김치전골(大)
삼식이의 대표 메뉴 감자탕 ! (4-5인용)
48,000원; 감자탕/김치전골(中)
(3-4 인용)
44,000원; 감자탕/김치전골(小)
(2-3 인용)
40,000원; 김치뼈찜(大)
잘 삶아진 뼈위로 묵은지를 올리고 매콤한 양념으로 조려낸 김치뼈찜! 주위에 둘러 나오는 두부로 두부김치 + 김치뼈찜의 콜라보 ! 소주안주로도 한끼 식사로도 굿 !
55,000원; 김치뼈찜(中)
50,000원; 뼈해장국
순한맛/중간맛/매운맛으로 매운 정도를 선택하여 주문할 수 있는 삼식이 대표 메뉴 ! 뼈해장국 ! 차원이 다른 고기의 부드러움과 푸짐한 양으로 한끼 식사로 든든한 뼈해장국!
10,000원; 김치뼈찜(小)
45,000원",127.0124958,37.4898831
신사골감자탕 삼성점,1717038170,감자탕,서울 강남구 삼성로104길 8,02-553-5252,,"단체 이용 가능, 주차, 포장, 예약",,"월
09:00 - 24:00; 화
00:00 - 24:00; 수
00:00 - 24:00; 목
00:00 - 24:00; 금
00:00 - 24:00; 토
00:00 - 24:00; 일
00:00 - 22:00","뼈해장국
대표
8,000원; 辛사골 감자탕
대표
25,000원; 황태해장국
7,000원; 辛대왕 등뼈찜
28,000원",127.055325,37.5107422
원조해장촌 뼈구이한판 감자탕 선릉역점,1476392342,감자탕,서울 강남구 선릉로86길 28 지상2층,0507-1407-9915,,"단체 이용 가능, 포장, 배달, 예약, 무선 인터넷, 반려동물 동반, 남/녀 화장실 구분, 대기공간, 주차",,"월
11:00 - 23:00
22:00 라스트오더; 화
11:00 - 23:00
22:00 라스트오더; 수
11:00 - 23:00
22:00 라스트오더; 목
11:00 - 23:00
22:00 라스트오더; 금
11:00 - 23:00
22:00 라스트오더; 토
11:00 - 22:00
21:00 라스트오더; 일
11:00 - 22:00
21:00 라스트오더","뼈구이 한판(3~4인)
대표
♡대표♡[[어디다먹나보자]] 직화뼈구이,계란말이튀김,빠다햄주먹밥,대왕떡꼬치,추억의사라다
56,000원; (건강한보약) 감자탕
대표
[[라면사리,밥]] 무한리필 !!!! 대장뼈다귀 한가득 부드럽고 야들야들한 살코기♡
13,000원; 뼈(두대)해장국
대표
[[갓성비]] 큼직한 뼈가 2대 들어간 해장국
8,000원; 순살해장국
대표
[[사장님나빠요ㅜㅜ]] 직원들 퇴사를 부르는 뼈에 붙은 살 다발라버린 해장국
10,000원; 산더미 직화 매콤 뼈구이 (2인)
대표
직화로 구워 매콤한 양념을 더한 요리로, 산더미 쌓아 올려드립니다
32,000원; 산더미 직화 매콤 뼈구이 (3인)
직화로 구워 매콤한 양념을 더한 요리로, 산더미 쌓아 올려드립니다
45,000원; 산더미 직화 매콤 뼈구이 (4인)
직화로 구워 매콤한 양념을 더한 요리로, 산더미 쌓아 올려드립니다
56,000원; 계란말이튀김
겉은바삭 ! 속은촉촉 ! 매운음식과 너무 잘 어울리는 시그니처 계란말이튀김 !
10,000원; 뼈구이 반판(2~3인)
[[갓성비]] 3인이서도 술안주로 골고루 먹기 딱좋은 뼈구이반판 !!
39,000원; 뼈(세대)해장국
[[건강한보약]] 뼈건강,스태미나,체력회복,피부미용에 탁월
11,000원; (특)무청감자탕(1인분)
[[뼈가한가득]] 체력딸리는 날에는 뼈가 푸짐한 보양감자탕 !!
15,000원; (특)순살해장국
[[사장님나빠요]] 직원들 퇴사를 부르는 뼈를 다발라낸 순살해장국
13,000원",127.0520712,37.5036221
